date,country_code,article,qid,pageviews,lang_code,instance_of,summary,category
2023-03-05,US,Chris_Rock,Q4109,180041,en,human,"Chris Rock American comedian, actor, screenwriter, producer, and director screenwriter",current
2023-03-13,US,Pedro_Pascal,Q14752155,178010,en,human,Pedro Pascal Chilean-American actor (born 1975) actor,current
2023-03-13,US,Jeff_Cohen_(actor),Q1137777,175762,en,human,Jeff Cohen American attorney and retired child actor (born 1974) actor,historical
2023-03-06,US,Chris_Rock,Q4109,172966,en,human,"Chris Rock American comedian, actor, screenwriter, producer, and director screenwriter",current
2023-03-22,US,Ohtani,Q4391858,171906,en,human,Shohei Ohtani Japanese professional baseball player baseball player,current
2023-03-11,US,Jimmy_Carter,Q23685,168746,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-05,US,Tom_Sizemore,Q349852,163718,en,human,Tom Sizemore American actor (1961–2023) actor,historical
2023-03-13,US,Ashley_Johnson_(actress),Q267359,162059,en,human,Ashley Johnson American actress actor,current
2023-03-20,US,Lance_Reddick,Q322056,157155,en,human,Lance Reddick American actor (1962–2023) television actor,current
2023-03-23,US,Marcel_Marceau,Q157191,156712,en,human,Marcel Marceau French actor and mime artist (1923–2000 mime artist,historical
2023-03-29,US,Justine_Siegemund,Q73885,150548,en,human,Justine Siegemund German midwife who wrote a book on midwifery midwife,historical
2023-03-27,US,Jimmy_Carter,Q23685,149161,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-07,US,Niall_Horan,Q775231,147094,en,human,Niall Horan Irish singer-songwriter singer,current
2023-03-25,US,Kitty_O'Neil,Q6418591,146414,en,human,Kitty O'Neil American racing driver and stuntwoman (1946–2018) engineer,historical
2023-03-20,US,Bruce_Willis,Q2680,145262,en,human,Bruce Willis American actor (born 1955) television actor,current
2023-03-13,US,Angela_Bassett,Q232120,144647,en,human,Angela Bassett American actress (born 1958) film actor,current
2023-03-18,US,Boston_Strangler,Q2855440,140590,en,human,"Boston Strangler unidentified serial killer or killers, however convicted rapist Albert DeSalvo confessed to many of these murders, DNA evidence links him to the final victim serial killer",historical
2023-03-12,US,Jenna_Ortega,Q21738166,140121,en,human,Jenna Ortega American actress (born 2002) film actor,current
2023-03-25,US,Donald_Triplett,Q24951318,140097,en,human,Donald Gray Triplett first person to be diagnosed with autism (1933–2023) banker,historical
2023-03-13,US,Christopher_Guest,Q336074,138144,en,human,"Christopher Guest British-American screenwriter, comedian, musician, director, and actor (born 1948) comedian",current
2023-03-12,US,Scottie_Scheffler,Q30161386,137203,en,human,Scottie Scheffler American professional golfer (born 1996) golfer,current
2023-03-08,US,Pau_Gasol,Q193052,134330,en,human,Pau Gasol Spanish basketball player basketball player,current
2023-03-20,US,Mario_Molina,Q19045,134001,en,human,Mario Molina Mexican chemical engineer (1943–2020) chemist,historical
2023-03-15,US,Bobby_Caldwell,Q2907941,131978,en,human,"Bobby Caldwell American singer, songwriter and multi-instrumentalist (1951-2023) singer-songwriter",historical
2023-03-07,US,Chris_Rock,Q4109,131172,en,human,"Chris Rock American comedian, actor, screenwriter, producer, and director screenwriter",current
2023-03-26,US,Jim_Larranaga,Q4025946,129135,en,human,Jim Larrañaga American basketball player and coach basketball coach,historical
2023-03-05,US,Ja_Morant,Q59656031,126233,en,human,Ja Morant American basketball player (born 1999) basketball player,current
2023-03-18,US,Tobin_Anderson,Q114413987,126225,en,human,Tobin Anderson American basketball coach basketball coach,current
2023-03-16,US,Bobby_Caldwell,Q2907941,125552,en,human,"Bobby Caldwell American singer, songwriter and multi-instrumentalist (1951-2023) singer-songwriter",historical
2023-03-15,US,Brendan_Fraser,Q193555,124816,en,human,Brendan Fraser Canadian-American actor (born 1968) film actor,current
2023-03-19,US,Boston_Strangler,Q2855440,124597,en,human,"Boston Strangler unidentified serial killer or killers, however convicted rapist Albert DeSalvo confessed to many of these murders, DNA evidence links him to the final victim serial killer",historical
2023-03-01,US,Tom_Sizemore,Q349852,123065,en,human,Tom Sizemore American actor (1961–2023) actor,historical
2023-03-05,US,Jimmy_Carter,Q23685,122933,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-27,US,Adam_Sandler,Q132952,121634,en,human,Adam Sandler American actor and comedian actor,current
2023-03-01,US,Lori_Lightfoot,Q56486914,121519,en,human,Lori Lightfoot Mayor of Chicago from 2019 to 2023 politician,current
2023-03-06,US,Ja_Morant,Q59656031,121221,en,human,Ja Morant American basketball player (born 1999) basketball player,current
2023-03-22,US,Lars_Nootbaar,Q107315831,120483,en,human,Lars Nootbaar American baseball player baseball player,current
2023-03-05,US,Valentina_Shevchenko,Q4522047,120321,en,human,Valentina Shevchenko Kyrgyzstani- mixed martial arts (MMA) fighter and muay thai fighter mixed martial arts fighter,current
2023-03-13,US,Harrison_Ford,Q81328,116737,en,human,Harrison Ford American actor (born 1942) actor,historical
2023-03-13,US,Sarah_Polley,Q234212,113869,en,human,"Sarah Polley Canadian actress, film director and screenwriter actor",current
2023-03-15,US,Ke_Huy_Quan,Q445017,113092,en,human,Ke Huy Quan American actor and stunt choreographer actor,current
2023-03-04,US,Ja_Morant,Q59656031,112753,en,human,Ja Morant American basketball player (born 1999) basketball player,current
2023-03-04,US,Jimmy_Carter,Q23685,112489,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-31,US,Shel_Silverstein,Q361257,112146,en,human,"Shel Silverstein American poet, cartoonist, songwriter, and children's writer (1930-1999) poet",current
2023-03-19,US,Shaka_Smart,Q7462536,109914,en,human,Shaka Smart American basketball coach basketball player,historical
2023-03-07,US,Jared_Fogle,Q6159960,109017,en,human,Jared Fogle American former Subway spokesperson spokesperson,historical
2023-03-18,US,Zach_Edey,Q106817973,108110,en,human,Zach Edey Canadian basketball player (born 2002) basketball player,current
2023-03-02,US,Jimmy_Carter,Q23685,108029,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-13,US,Stephanie_Hsu,Q63381497,107966,en,human,Stephanie Hsu American actress actor,current
2023-03-29,US,Keanu_Reeves,Q43416,105660,en,human,Keanu Reeves Canadian actor and musician (born 1964) television actor,current
2023-03-23,US,Holly_Robinson_Peete,Q434003,105463,en,human,Holly Robinson Peete American actress and singer actor,historical
2023-03-13,US,Robert_Blake_(actor),Q524281,105256,en,human,Robert Blake American actor (1933–2023) actor,historical
2023-03-31,US,Donald_Trump,Q22686,104147,en,human,"Donald Trump president of the United States (2017–2021, 2025–present) business magnate",current
2023-03-15,US,Aaron_Rodgers,Q302581,103544,en,human,Aaron Rodgers American football player (born 1983) American football player,current
2023-03-17,US,Rick_Pitino,Q686052,103428,en,human,Rick Pitino American basketball coach basketball coach,current
2023-03-21,US,Lance_Reddick,Q322056,103230,en,human,Lance Reddick American actor (1962–2023) television actor,current
2023-03-31,US,Gwyneth_Paltrow,Q34460,102399,en,human,"Gwyneth Paltrow American actress, entrepreneur, writer and singer film actor",current
2023-03-27,US,Caitlin_Clark,Q106298476,101676,en,human,Caitlin Clark American basketball player (born 2002) basketball player,current
2023-03-21,US,Randy_Arozarena,Q65972748,99553,en,human,Randy Arozarena Cuban-Mexican baseball player baseball player,historical
2023-03-09,US,Shawn_Kemp,Q150510,99519,en,human,Shawn Kemp American basketball player basketball player,current
2023-03-25,US,Jim_Larranaga,Q4025946,98850,en,human,Jim Larrañaga American basketball player and coach basketball coach,historical
2023-03-05,US,Alexa_Grasso,Q19560601,97949,en,human,Alexa Grasso Mexican mixed martial artist mixed martial arts fighter,current
2023-03-14,US,Niall_Horan,Q775231,97729,en,human,Niall Horan Irish singer-songwriter singer,current
2023-03-13,US,Alexei_Navalny,Q155979,97197,en,human,Alexei Navalny Russian jurist and opposition leader (1976–2024) politician,current
2023-03-14,US,Pedro_Pascal,Q14752155,97126,en,human,Pedro Pascal Chilean-American actor (born 1975) actor,current
2023-03-25,US,Reese_Witherspoon,Q44063,96695,en,human,Reese Witherspoon American actress (born 1976) actor,current
2023-03-04,US,William_Woods_(baseball),Q111948021,96434,en,human,William Woods American baseball player baseball player,historical
2023-03-27,US,Jonathan_Majors,Q31970512,96087,en,human,Jonathan Majors American actor (born 1989) film actor,current
2023-03-13,US,Lady_Gaga,Q19848,95527,en,human,"Lady Gaga American singer, songwriter, and actress (born 1986) singer",current
2023-03-25,US,Chabelo,Q5066005,94357,en,human,Chabelo Mexican actor actor,current
2023-03-29,US,Mary_Mallon,Q238948,94128,en,human,Typhoid Mary infected houseworker in New York City cook,historical
2023-03-21,US,Lars_Nootbaar,Q107315831,94054,en,human,Lars Nootbaar American baseball player baseball player,current
2023-03-29,US,Alexandra_Grant,Q4720650,93244,en,human,Alexandra Grant American artist (*1973) artist,current
2023-03-10,US,Pedro_Pascal,Q14752155,93148,en,human,Pedro Pascal Chilean-American actor (born 1975) actor,current
2023-03-05,US,Kurt_Kitayama,Q59655960,92539,en,human,Kurt Kitayama American professional golfer golfer,current
2023-03-21,US,Bruce_Willis,Q2680,92484,en,human,Bruce Willis American actor (born 1955) television actor,current
2023-03-22,US,Amanda_Bynes,Q212002,92123,en,human,Amanda Bynes American actress and fashion designer (born 1986) television presenter,current
2023-03-12,US,Pedro_Pascal,Q14752155,91919,en,human,Pedro Pascal Chilean-American actor (born 1975) actor,current
2023-03-13,US,Philip_Berk,Q116383296,91406,en,human,Philip Berk American film industry executive film critic,current
2023-03-05,US,Shavkat_Rakhmonov,Q110825847,91100,en,human,Shavkat Rakhmonov Kazakhstani mixed martial arts fighter mixed martial arts fighter,current
2023-03-13,US,Jonathan_Wang,Q115925841,90849,en,human,Jonathan Wang film producer film producer,current
2023-03-20,US,Amanda_Bynes,Q212002,90299,en,human,Amanda Bynes American actress and fashion designer (born 1986) television presenter,current
2023-03-26,US,David_Benavidez,Q35454257,88403,en,human,David Benavidez American boxer boxer,current
2023-03-06,US,Jon_Jones,Q285450,88291,en,human,Jon Jones American mixed martial arts fighter mixed martial arts fighter,current
2023-03-22,US,6ix9ine,Q44479972,87956,en,human,6ix9ine American rapper from New York (born 1996) rapper,current
2023-03-13,US,Kelly_Curtis,Q273574,87945,en,human,Kelly Curtis American actress actor,current
2023-03-18,US,Randy_Arozarena,Q65972748,87836,en,human,Randy Arozarena Cuban-Mexican baseball player baseball player,historical
2023-03-20,US,Marie_Antoinette,Q47365,87807,en,human,Marie Antoinette last Queen of France prior to the French Revolution (1755–1793) aristocrat,historical
2023-03-08,US,Chris_Rock,Q4109,87740,en,human,"Chris Rock American comedian, actor, screenwriter, producer, and director screenwriter",current
2023-03-15,US,Jamie_Lee_Curtis,Q106997,87029,en,human,Jamie Lee Curtis American actress and author actor,current
2023-03-13,US,Bella_Ramsey,Q24891605,86929,en,human,Bella Ramsey British actor television actor,current
2023-03-13,US,Charlbi_Dean,Q101064944,86914,en,human,Charlbi Dean South African actress (1990–2022) film actor,current
2023-03-05,US,Ciryl_Gane,Q79372882,86754,en,human,Ciryl Gane French mixed martial arts (MMA) fighter mixed martial arts fighter,current
2023-03-05,US,Stipe_Miocic,Q40266,85670,en,human,Stipe Miocic American mixed martial artist mixed martial arts fighter,current
2023-03-05,US,Bo_Nickal,Q86752584,85154,en,human,Bo Nickal American wrestler (born 1996) amateur wrestler,current
2023-03-12,US,Zach_Edey,Q106817973,84853,en,human,Zach Edey Canadian basketball player (born 2002) basketball player,current
2023-03-24,US,Markquis_Nowell,Q100892196,83749,en,human,Markquis Nowell American basketball player basketball player,current
2023-03-07,US,Ja_Morant,Q59656031,83501,en,human,Ja Morant American basketball player (born 1999) basketball player,current
2023-03-13,US,James_Hong,Q358990,82628,en,human,James Hong American actor (born 1929) actor,historical
2023-03-01,US,Brandon_Johnson_(politician),Q73917865,82570,en,human,Brandon Johnson Mayor of Chicago since 2023 teacher,current
2023-03-04,US,Riley_Keough,Q254947,82114,en,human,Riley Keough American actress model,current
2023-03-06,US,Pedro_Pascal,Q14752155,82100,en,human,Pedro Pascal Chilean-American actor (born 1975) actor,current
2023-03-26,US,Emily_Ratajkowski,Q5372335,81630,en,human,Emily Ratajkowski British and American model and actress actor,current
2023-03-11,US,Robert_Blake_(actor),Q524281,81295,en,human,Robert Blake American actor (1933–2023) actor,historical
2023-03-20,US,Rick_Pitino,Q686052,81093,en,human,Rick Pitino American basketball coach basketball coach,current
2023-03-14,US,Ashley_Johnson_(actress),Q267359,80414,en,human,Ashley Johnson American actress actor,current
2023-03-20,US,Emma_Heming,Q443073,79961,en,human,"Emma Heming Willis British-American model, actress and businesswoman actor",current
2023-03-05,US,Kelsea_Ballerini,Q18637137,79874,en,human,Kelsea Ballerini American singer and songwriter singer,current
2023-03-08,US,Niall_Horan,Q775231,79494,en,human,Niall Horan Irish singer-songwriter singer,current
2023-03-24,US,Shou_Zi_Chew,Q115591126,79214,en,human,"Shou Zi Chew Singaporean businessman, CEO of TikTok businessperson",current
2023-03-10,US,Bonnie_Lee_Bakley,Q4076011,77838,en,human,Bonnie Lee Bakley American fraudster (1956-2001) model,historical
2023-03-11,US,Pedro_Pascal,Q14752155,77263,en,human,Pedro Pascal Chilean-American actor (born 1975) actor,current
2023-03-24,US,Reese_Witherspoon,Q44063,76665,en,human,Reese Witherspoon American actress (born 1976) actor,current
2023-03-07,US,Dale_Krantz-Rossington,Q445448,76390,en,human,Gary Rossington American guitarist (1951–2023) guitarist,historical
2023-03-25,US,Gwyneth_Paltrow,Q34460,76337,en,human,"Gwyneth Paltrow American actress, entrepreneur, writer and singer film actor",current
2023-03-23,US,Lance_Reddick,Q322056,76232,en,human,Lance Reddick American actor (1962–2023) television actor,current
2023-03-05,US,Travis_Kelce,Q7836292,76077,en,human,Travis Kelce American football player (born 1989) American football player,current
2023-03-09,US,Pedro_Pascal,Q14752155,76038,en,human,Pedro Pascal Chilean-American actor (born 1975) actor,current
2023-03-21,US,Rick_Pitino,Q686052,75689,en,human,Rick Pitino American basketball coach basketball coach,current
2023-03-30,US,Gwyneth_Paltrow,Q34460,75657,en,human,"Gwyneth Paltrow American actress, entrepreneur, writer and singer film actor",current
2023-03-18,US,Saint_Patrick,Q165479,75512,en,human,Saint Patrick 5th-century Romano-British Christian missionary and bishop in Ireland farmer,historical
2023-03-20,US,Boston_Strangler,Q2855440,75485,en,human,"Boston Strangler unidentified serial killer or killers, however convicted rapist Albert DeSalvo confessed to many of these murders, DNA evidence links him to the final victim serial killer",historical
2023-03-30,US,Keanu_Reeves,Q43416,75378,en,human,Keanu Reeves Canadian actor and musician (born 1964) television actor,current
2023-03-27,US,Kim_Mulkey,Q2475545,75018,en,human,Kim Mulkey American basketball player and coach basketball player,current
2023-03-04,US,Jon_Jones,Q285450,74830,en,human,Jon Jones American mixed martial arts fighter mixed martial arts fighter,current
2023-03-13,US,John_Travolta,Q80938,74829,en,human,John Travolta American actor (born 1954) actor,current
2023-03-23,US,Shou_Zi_Chew,Q115591126,74028,en,human,"Shou Zi Chew Singaporean businessman, CEO of TikTok businessperson",current
2023-03-15,US,Pedro_Pascal,Q14752155,73868,en,human,Pedro Pascal Chilean-American actor (born 1975) actor,current
2023-03-31,US,George_Soros,Q12908,73466,en,human,George Soros Hungarian-American investor and philanthropist (born 1930) investor,historical
2023-03-26,US,Bobby_Hurley,Q1626464,73409,en,human,Bobby Hurley American basketball player and coach basketball player,historical
2023-03-21,US,Donald_Trump,Q22686,72503,en,human,"Donald Trump president of the United States (2017–2021, 2025–present) business magnate",current
2023-03-16,US,Brendan_Fraser,Q193555,72437,en,human,Brendan Fraser Canadian-American actor (born 1968) film actor,current
2023-03-05,US,Riley_Keough,Q254947,72420,en,human,Riley Keough American actress model,current
2023-03-03,US,Clifton_Newman,Q116569864,72009,en,human,Clifton Newman circuit court judge in South Carolina judge,historical
2023-03-06,US,Bella_Ramsey,Q24891605,71967,en,human,Bella Ramsey British actor television actor,current
2023-03-09,US,Jim_Boeheim,Q530705,71833,en,human,Jim Boeheim American basketball coach and player basketball player,current
2023-03-06,US,Tom_Sizemore,Q349852,71408,en,human,Tom Sizemore American actor (1961–2023) actor,historical
2023-03-20,US,Drew_Timme,Q88799464,71018,en,human,Drew Timme American basketball player (born 2000) basketball player,current
2023-03-14,US,Aaron_Rodgers,Q302581,70799,en,human,Aaron Rodgers American football player (born 1983) American football player,current
2023-03-15,US,Michelle_Yeoh,Q214289,70781,en,human,Michelle Yeoh Malaysian actress actor,current
2023-03-16,US,Mamie_Eisenhower,Q233686,70367,en,human,Mamie Eisenhower First Lady of the United States from 1953 to 1961 dancer,historical
2023-03-24,US,Gwyneth_Paltrow,Q34460,70167,en,human,"Gwyneth Paltrow American actress, entrepreneur, writer and singer film actor",current
2023-03-09,US,Michael_Bolton,Q312514,70102,en,human,Michael Bolton American singer-songwriter film producer,current
2023-03-13,US,Morgan_Freeman,Q48337,69952,en,human,Morgan Freeman American actor and producer (born 1937) film producer,current
2023-03-22,US,Sofia_Coppola,Q193628,69766,en,human,Sofia Coppola American filmmaker (born 1971) actor,current
2023-03-22,US,Lance_Reddick,Q322056,69717,en,human,Lance Reddick American actor (1962–2023) television actor,current
2023-03-24,US,Lance_Reddick,Q322056,68639,en,human,Lance Reddick American actor (1962–2023) television actor,current
2023-03-13,US,Salma_Hayek,Q125106,68135,en,human,Salma Hayek Mexican and American actress (born 1966) film actor,current
2023-03-03,US,Riley_Keough,Q254947,68064,en,human,Riley Keough American actress model,current
2023-03-05,US,Francis_Ngannou,Q23883298,68015,en,human,Francis Ngannou Cameroonian mixed martial artist mixed martial arts fighter,current
2023-03-18,US,Donald_Mastick,Q108073114,67926,en,human,Donald Mastick American chemist (1920–2007) chemist,historical
2023-03-13,US,Kirstie_Alley,Q151935,67756,en,human,Kirstie Alley American actress (1951–2022) actor,historical
2023-03-12,US,Jon_Scheyer,Q1983483,67676,en,human,Jon Scheyer American basketball player and coach basketball player,current
2023-03-11,US,Lionel_Messi,Q615,67599,es,human,Lionel Messi Argentine association football player (born 1987) association football player,current
2023-03-13,US,Austin_Butler,Q469954,67437,en,human,Austin Butler American actor (born 1991) actor,current
2023-03-31,US,Alvin_Bragg,Q107452007,66994,en,human,Alvin Bragg American lawyer and District Attorney of New York County (born 1973) politician,current
2023-03-27,US,Charles_Barkley,Q192707,66819,en,human,Charles Barkley American basketball player basketball player,current
2023-03-14,US,Hunter_Schafer,Q59248250,66717,en,human,"Hunter Schafer American actress, model, and LGBTQ activist (born 1998) model",current
2023-03-10,US,Jenna_Ortega,Q21738166,66694,en,human,Jenna Ortega American actress (born 2002) film actor,current
2023-03-16,US,Ke_Huy_Quan,Q445017,66309,en,human,Ke Huy Quan American actor and stunt choreographer actor,current
2023-03-16,US,Aaron_Rodgers,Q302581,66157,en,human,Aaron Rodgers American football player (born 1983) American football player,current
2023-03-07,US,Pedro_Pascal,Q14752155,66073,en,human,Pedro Pascal Chilean-American actor (born 1975) actor,current
2023-03-02,US,Pedro_Pascal,Q14752155,65975,en,human,Pedro Pascal Chilean-American actor (born 1975) actor,current
2023-03-11,US,Jared_Fogle,Q6159960,65574,en,human,Jared Fogle American former Subway spokesperson spokesperson,historical
2023-03-18,US,Eric_Musselman,Q3056361,65335,en,human,Eric Musselman American basketball coach basketball coach,current
2023-03-16,US,Pedro_Pascal,Q14752155,65249,en,human,Pedro Pascal Chilean-American actor (born 1975) actor,current
2023-03-05,US,Jake_Gyllenhaal,Q133313,65192,en,human,Jake Gyllenhaal American actor (born 1980) film actor,current
2023-03-24,US,Drew_Timme,Q88799464,64671,en,human,Drew Timme American basketball player (born 2000) basketball player,current
2023-03-13,US,Colin_Farrell,Q172035,64643,en,human,Colin Farrell Irish actor (born 1976) actor,current
2023-03-17,US,Brendan_Fraser,Q193555,63924,en,human,Brendan Fraser Canadian-American actor (born 1968) film actor,current
2023-03-13,US,Rihanna,Q36844,63811,en,human,Rihanna Barbadian singer singer,current
2023-03-13,US,Jenna_Ortega,Q21738166,63710,en,human,Jenna Ortega American actress (born 2002) film actor,current
2023-03-13,US,Hunter_Schafer,Q59248250,63532,en,human,"Hunter Schafer American actress, model, and LGBTQ activist (born 1998) model",current
2023-03-13,US,Tony_Scott,Q193648,63087,en,human,Tony Scott British film director and producer (1944–2012) film director,historical
2023-03-27,US,Anthony_Volpe,Q64358896,62841,en,human,Anthony Volpe American professional baseball player baseball player,current
2023-03-26,US,Dusty_May,Q50829158,62715,en,human,Dusty May American college basketball coach basketball coach,current
2023-03-26,US,Drew_Timme,Q88799464,62412,en,human,Drew Timme American basketball player (born 2000) basketball player,current
2023-03-14,US,Bella_Ramsey,Q24891605,61771,en,human,Bella Ramsey British actor television actor,current
2023-03-13,US,Steven_Spielberg,Q8877,61614,en,human,Steven Spielberg American filmmaker (born 1946) film director,current
2023-03-20,US,Demi_Moore,Q43044,61600,en,human,Demi Moore American actress and producer (born 1962) stage actor,current
2023-03-17,US,Boston_Strangler,Q2855440,61466,en,human,"Boston Strangler unidentified serial killer or killers, however convicted rapist Albert DeSalvo confessed to many of these murders, DNA evidence links him to the final victim serial killer",historical
2023-03-11,US,D.J._Moore_(wide_receiver),Q48977305,61454,en,human,D. J. Moore American football player (born 1997) American football player,current
2023-03-05,US,Chandler_Jones,Q941408,61429,en,human,Chandler Jones American football player (born 1990) American football player,current
2023-03-28,US,Sergio_Romo,Q3041597,61023,en,human,Sergio Romo American baseball player (born 1983) baseball player,current
2023-03-08,US,Lionel_Messi,Q615,60693,es,human,Lionel Messi Argentine association football player (born 1987) association football player,current
2023-03-09,US,Gene_Hackman,Q150943,60557,en,human,Gene Hackman American actor (1930–2025) film actor,historical
2023-03-13,US,Dickson_Poon,Q5273802,60557,en,human,Dickson Poon Hong Kong businessman businessperson,current
2023-03-22,US,Rebecca_Jones_(Mexican_actress),Q3294676,60181,en,human,Rebecca Jones Mexican actress (1957–2023) actor,historical
2023-03-11,US,Chris_Rock,Q4109,59703,en,human,"Chris Rock American comedian, actor, screenwriter, producer, and director screenwriter",current
2023-03-22,US,Donald_Trump,Q22686,59669,en,human,"Donald Trump president of the United States (2017–2021, 2025–present) business magnate",current
2023-03-18,US,Albert_DeSalvo,Q1342909,59610,en,human,Albert DeSalvo American criminal and convicted rapist (1931–1973) prolific offender,historical
2023-03-13,US,Hong_Chau,Q38195662,59576,en,human,Hong Chau American actress (born 1979) film actor,current
